origem;destino;media custo(reais);menor tempo (horas)
SBBE;SBSN;453.5;1
SBBE;SBJP;809.0;4
SBBE;SBFN;1712.0;4
SBBE;SBRF;655.5;2
SBBE;SBTE;700.0;2
SBBE;SBCA;736.5;6
SBBE;SBCT;620.0;6
SBBE;SBFI;891.0;9
SBBE;SBLO;951.0;12
SBBE;SBMG;541.5;8
SBBE;SBCB;969.0;7
SBBE;SBGL;803.0;4
SBBE;SBSG;687.0;3
SBBE;SSKW;1178.0;21
SBBE;SBPV;833.0;19
SBBE;SBVH;1185.0;21
SBBE;SBBV;523.0;7
SBBE;SBPF;1034.5;6
SBBE;SBPA;632.0;6
SBBE;SBCH;702.5;5
SBBE;SBFL;578.0;8
SBBE;SBJV;851.0;17
SBBE;SBNF;573.0;9
SBBE;SBAR;903.0;16
SBBE;SBKP;1024.5;3
SBBE;SBGR;587.0;3
SBBE;SBDN;1125.5;6
SBBE;SBRP;839.5;7
SBBE;SBSR;625.0;9
SBBE;SBSP;780.0;5
SBBE;SWGN;1536.5;23
SBBE;SBPJ;909.5;7
SBBE;SBRJ;892.0;10
SBRF;SBCZ;1111.5;8
SBRF;SBRB;1046.0;6
SBRF;SBEG;574.5;8
SBRF;SBMQ;894.0;19
SBRF;SNBR;877.5;7
SBRF;SBIL;1336.0;5
SBRF;SBPS;1598.0;4
SBRF;SBSV;238.5;1
SBRF;SBQV;752.5;6
SBRF;SBFZ;98.0;1
SBRF;SBJU;774.5;1
SBRF;SBBR;233.5;2
SBRF;SBVT;396.0;2
SBRF;SBCN;1239.5;6
SBRF;SBGO;793;2
SBRF;SWLC;1025.0;10
SBRF;SBIZ;1004.0;7
SBRF;SBSL;699.5;2
SBRF;SBCF;744.5;2
SBRF;SBGV;1070.0;4
SBRF;SBJF;908.0;7
SBRF;SBMK;795.0;4
SBRF;SBIP;895.5;4
SBRF;SBUR;848.0;6
SBRF;SBUL;825;27
SBRF;SBCG;958.0;6
SBRF;SBCR;1290.5;7
SBRF;SBAT;1554.5;5
SBRF;SWSI;1145.5;11
SBRF;SBCY;800.5;7
SBRF;SBHT;1395.0;5
SBRF;SBBE;788.5;6
SBRF;SBMA;927.0;5
SBRF;SBCJ;1581.5;17
SBRF;SBSN;1492.0;5
SBRF;SBJP;565.0;0.75
SBRF;SBKG;887.5;8
SBRF;SBFN;741.5;1
SBRF;SBPL;659.5;1
SBRF;SBTE;594.5;1
SBRF;SBCA;779.5;9
SBRF;SBCT;755.5;5
SBRF;SBFI;792;15
SBRF;SBLO;567.5;8
SBRF;SBMG;967.0;6
SBRF;SBCB;813.0;6
SBRF;SBGL;640.0;3
SBRF;SBSG;429;1
SBRF;SBPV;813.0;8
SBRF;SBVH;1637.0;10
SBRF;SBBV;1206.5;11
SBRF;SBCX;794.5;8
SBRF;SBPF;866.0;8
SBRF;SBPA;693.5;5
SBRF;SBCH;939.0;20
SBRF;SBFL;780.5;5
SBRF;SBJV;569.0;7
SBRF;SBNF;659.5;7
SBRF;SBAR;334.5;1
SBRF;SBAU;874.0;7
SBRF;SBKP;737.5;3
SBRF;SBGR;593.5;3
SBRF;SBML;665.5;7
SBRF;SBDN;762.5;8
SBRF;SBRP;672.5;6
SBRF;SBSR;664.0;5
SBRF;SBSP;528.5;5
SBRF;SWGN;1758.5;17
SBRF;SBPJ;695.0;2
SBRF;SBRJ;721.5;10
SBCT;SBCZ;1111.5;7
SBCT;SBRB;1046.5;9
SBCT;SBMO;1187.5;10
SBCT;SBEG;685.5;6
SBCT;SBMQ;1053.5;13
SBCT;SNBR;704.5;15
SBCT;SBIL;902.0;5
SBCT;SBPS;514.0;5
SBCT;SBSV;724;4
SBCT;SNVB;2142.5;6
SBCT;SBQV;852;4
SBCT;SBFZ;670;5
SBCT;SBJU;711.0;6
SBCT;SBBR;465;1
SBCT;SBVT;191.5;3
SBCT;SBCN;1239.5;4
SBCT;SBGO;609;3
SBCT;SBIZ;690;5
SBCT;SBSL;647.0;6
SBCT;SBCF;490;3
SBCT;SBGV;1529.0;5
SBCT;SBJF;791.0;3
SBCT;SBMK;612.0;6
SBCT;SBIP;792.0;7
SBCT;SBUR;349.0;6
SBCT;SBUL;520.0;4
SBCT;SBCG;557.0;3
SBCT;SBCR;868.0;3
SBCT;SBAT;897.0;5
SBCT;SWRD;1958.5;26
SBCT;SWSI;1118.5;17
SBCT;SBCY;1032.0;4
SBCT;SBHT;2142.5;7
SBCT;SBBE;709.5;8
SBCT;SBMA;814;10
SBCT;SBSN;858.0;18
SBCT;SBJP;916.0;5
SBCT;SBKG;1304.5;7
SBCT;SBFN;1430.5;7
SBCT;SBPL;1880.5;7
SBCT;SBRF;741;6
SBCT;SBTE;627.5;6
SBCT;SBCA;498.5;1
SBCT;SBFI;376.5;1
SBCT;SBLO;427.5;1
SBCT;SBMG;271.5;1
SBCT;SBGL;360.5;1
SBCT;SBSG;618.5;5
SBCT;SSKW;1421.0;19
SBCT;SBPV;817.0;9
SBCT;SBVH;936.0;19
SBCT;SBBV;1109.0;6
SBCT;SBPF;837.0;3
SBCT;SBPA;677.0;1
SBCT;SBCH;768.5;4
SBCT;SBFL;557.0;3
SBCT;SBJV;540;3
SBCT;SBNF;674.5;4
SBCT;SBAR;1002.5;5
SBCT;SBAU;689.5;3
SBCT;SBKP;262.5;1
SBCT;SBGR;220.5;1
SBCT;SBML;353.0;3
SBCT;SBDN;589.5;3
SBCT;SBRP;280.0;3
SBCT;SBSR;363;3
SBCT;SBSP;188.0;1
SBCT;SWGN;986.5;21
SBCT;SBPJ;562.0;6
SBCT;SBRJ;491.5;1
SBRJ;SBRB;1027.5;15
SBRJ;SBMO;1133.5;15
SBRJ;SBEG;707.5;5
SBRJ;SBMQ;1157.5;7
SBRJ;SNBR;727.5;14
SBRJ;SBIL;1099.5;3
SBRJ;SBPS;589.0;8
SBRJ;SBSV;617.5;5
SBRJ;SNVB;2142.5;3
SBRJ;SBQV;634.0;7
SBRJ;SBFZ;737.0;7
SBRJ;SBJU;884.0;5
SBRJ;SBBR;997.0;1
SBRJ;SBVT;481.0;1
SBRJ;SBCN;1239.5;4
SBRJ;SBGO;761;1
SBRJ;SBIZ;893.5;7
SBRJ;SBSL;716.0;7
SBRJ;SBCF;381.0;1
SBRJ;SBGV;1735.5;4
SBRJ;SBMK;828.0;4
SBRJ;SBIP;804.0;3
SBRJ;SBUR;913.5;4
SBRJ;SBUL;758.0;3
SBRJ;SBCG;601.5;3
SBRJ;SBCR;1076.0;4
SBRJ;SBAT;1223.5;8
SBRJ;SWSI;1363.5;8
SBRJ;SBCY;625.5;4
SBRJ;SBHT;1531.0;7
SBRJ;SBBE;847.0;8
SBRJ;SBMA;641.0;8
SBRJ;SBSN;921.0;20
SBRJ;SBJP;1027.0;6
SBRJ;SBKG;1662.0;18
SBRJ;SBFN;1620.0;16
SBRJ;SBPL;1016.0;7
SBRJ;SBRF;768.0;7
SBRJ;SBTE;599.5;8
SBRJ;SBCA;789.0;4
SBRJ;SBCT;459;1
SBRJ;SBFI;583.0;1
SBRJ;SBLO;374.0;4
SBRJ;SBMG;675.5;6
SBRJ;SBSG;783.0;8
SBRJ;SSKW;1584.0;21
SBRJ;SBPV;774.0;8
SBRJ;SBVH;1566.5;6
SBRJ;SBBV;868.5;7
SBRJ;SBCX;847.5;3
SBRJ;SBPF;971.0;3
SBRJ;SBPA;648.5;2
SBRJ;SBCH;1299.0;11
SBRJ;SBFL;487.0;3
SBRJ;SBJV;373.5;2
SBRJ;SBNF;487.0;1
SBRJ;SBAR;686.5;9
SBRJ;SBAU;1215.5;3
SBRJ;SBKP;582.5;1
SBRJ;SBGR;333.0;1
SBRJ;SBML;635.5;3
SBRJ;SBDN;610.5;2
SBRJ;SBRP;491.0;1
SBRJ;SBSR;377.0;5
SBRJ;SBSP;514.0;1
SBRJ;SWGN;1747;21
SBRJ;SBPJ;766.5;7
SBSG;SBRB;1025.5;7
SBSG;SBMO;1072.5;12
SBSG;SBEG;940.0;9
SBSG;SBMQ;1000.5;7
SBSG;SNBR;1400.5;19
SBSG;SBIL;1770.5;9
SBSG;SBLE;697.0;18
SBSG;SBPS;2199.0;6
SBSG;SBSV;485.0;3
SBSG;SBQV;906.0;9
SBSG;SBFZ;171.5;1
SBSG;SBJU;613.5;4
SBSG;SBBR;1055.5;2
SBSG;SBVT;917.5;6
SBSG;SBGO;826.0;7
SBSG;SBIZ;694.0;10
SBSG;SBSL;682.5;3
SBSG;SBCF;521.5;22
SBSG;SBGV;2142.5;6
SBSG;SBJF;2142.5;23
SBSG;SBMK;1128.5;11
SBSG;SBIP;2142.5;6
SBSG;SBUR;2142.5;8
SBSG;SBUL;482.0;5
SBSG;SBCG;800;7
SBSG;SBAT;2100.0;7
SBSG;SWRD;2142.5;29
SBSG;SBCY;857.0;9
SBSG;SBHT;2142.5;7
SBSG;SBBE;532.0;20
SBSG;SBMA;1160.5;7
SBSG;SBSN;1935;7
SBSG;SBJP;1016.0;3
